Date,Open,High,Low,Close,Adj Close,Volume
2017-03-28,9955.000000,9955.000000,9845.000000,9845.000000,9830.415039,127
2017-03-29,9870.000000,9870.000000,9800.000000,9800.000000,9785.481445,21
2017-03-30,10015.000000,10015.000000,10015.000000,10015.000000,10000.163086,1
2017-03-31,10085.000000,10085.000000,10035.000000,10035.000000,10020.133789,2
2017-04-03,10160.000000,10225.000000,10160.000000,10225.000000,10209.851563,68
2017-04-04,10175.000000,10225.000000,10125.000000,10125.000000,10110.000000,63
2017-04-05,10200.000000,10235.000000,10150.000000,10205.000000,10189.881836,72
2017-04-06,10200.000000,10200.000000,10155.000000,10155.000000,10139.956055,12
2017-04-07,10185.000000,10225.000000,10175.000000,10175.000000,10159.925781,133
2017-04-10,10165.000000,10165.000000,10165.000000,10165.000000,10149.940430,1
2017-04-11,9995.000000,9995.000000,9875.000000,9950.000000,9935.259766,35
2017-04-12,9955.000000,9970.000000,9910.000000,9970.000000,9955.229492,320
2017-04-13,10160.000000,10285.000000,10160.000000,10285.000000,10269.762695,63
2017-04-14,10275.000000,10275.000000,10275.000000,10275.000000,10259.778320,3
2017-04-17,10275.000000,10275.000000,10210.000000,10210.000000,10194.874023,123
2017-04-18,10290.000000,10315.000000,10290.000000,10315.000000,10299.718750,228
2017-04-19,10350.000000,10350.000000,10345.000000,10345.000000,10329.673828,93
2017-04-20,10455.000000,10455.000000,10455.000000,10455.000000,10439.510742,100
2017-04-21,10515.000000,10520.000000,10505.000000,10520.000000,10504.415039,291
2017-04-24,10420.000000,10455.000000,10415.000000,10420.000000,10404.563477,10855
2017-04-25,10515.000000,10520.000000,10435.000000,10520.000000,10504.415039,6335
2017-04-26,10635.000000,10635.000000,10575.000000,10575.000000,10559.333008,357
2017-04-27,10390.000000,10390.000000,10330.000000,10335.000000,10319.689453,1279
2017-04-28,10400.000000,10400.000000,10365.000000,10370.000000,10354.636719,265
2017-05-02,10405.000000,10500.000000,10405.000000,10450.000000,10434.518555,20557
2017-05-04,10565.000000,10640.000000,10540.000000,10640.000000,10624.237305,13772
2017-05-08,10550.000000,10640.000000,10545.000000,10595.000000,10579.303711,113
2017-05-10,10800.000000,10955.000000,10580.000000,10610.000000,10594.281250,583
2017-05-11,10605.000000,10800.000000,10600.000000,10800.000000,10784.000000,241
2017-05-12,10740.000000,10740.000000,10580.000000,10605.000000,10589.289063,955
2017-05-15,10585.000000,10665.000000,10570.000000,10570.000000,10554.340820,230
2017-05-16,10570.000000,10570.000000,10565.000000,10565.000000,10549.348633,61
2017-05-17,10635.000000,10645.000000,10630.000000,10645.000000,10629.229492,636
2017-05-18,10605.000000,10680.000000,10605.000000,10675.000000,10659.185547,3
2017-05-19,10715.000000,10795.000000,10715.000000,10795.000000,10779.007813,10
2017-05-22,10855.000000,10855.000000,10855.000000,10855.000000,10838.918945,13
2017-05-23,10915.000000,10960.000000,10895.000000,10930.000000,10913.807617,528
2017-05-24,10925.000000,10940.000000,10920.000000,10920.000000,10903.822266,183
2017-05-25,10945.000000,10995.000000,10920.000000,10945.000000,10928.785156,807
2017-05-26,11060.000000,11060.000000,11010.000000,11010.000000,10993.689453,42
2017-05-29,11095.000000,11155.000000,11095.000000,11105.000000,11088.547852,160
2017-05-30,11105.000000,11105.000000,11070.000000,11095.000000,11078.563477,659
2017-05-31,11090.000000,11135.000000,11045.000000,11045.000000,11028.636719,38
2017-06-01,11045.000000,11120.000000,11040.000000,11075.000000,11058.592773,45005
2017-06-02,11080.000000,11225.000000,11080.000000,11225.000000,11208.370117,216
2017-06-05,11270.000000,11470.000000,11270.000000,11440.000000,11423.051758,1269
2017-06-07,11540.000000,11605.000000,11485.000000,11570.000000,11552.859375,3542
2017-06-08,11595.000000,11615.000000,11540.000000,11610.000000,11592.799805,2265
2017-06-09,11825.000000,11965.000000,11825.000000,11965.000000,11947.274414,2402
2017-06-12,11865.000000,11865.000000,11680.000000,11680.000000,11662.696289,2667
2017-06-13,11780.000000,11780.000000,11635.000000,11650.000000,11632.741211,1134
2017-06-14,11660.000000,11755.000000,11560.000000,11635.000000,11617.762695,1792
2017-06-15,11685.000000,11705.000000,11565.000000,11565.000000,11547.867188,2952
2017-06-16,11580.000000,11580.000000,11395.000000,11450.000000,11433.037109,279
2017-06-19,11515.000000,11585.000000,11495.000000,11500.000000,11482.962891,295
2017-06-20,11670.000000,11670.000000,11070.000000,11105.000000,11088.547852,1581
2017-06-21,10945.000000,11140.000000,10815.000000,11100.000000,11083.555664,3834
2017-06-22,11150.000000,11150.000000,10915.000000,11025.000000,11008.666992,472
2017-06-23,11160.000000,11475.000000,11160.000000,11475.000000,11458.000000,1461
2017-06-26,11650.000000,11650.000000,11545.000000,11545.000000,11527.896484,1511
2017-06-27,11545.000000,11590.000000,11515.000000,11570.000000,11552.859375,584
2017-06-28,11435.000000,11490.000000,11300.000000,11345.000000,11328.192383,45896
2017-06-29,11430.000000,11475.000000,11380.000000,11475.000000,11458.000000,46231
2017-06-30,11390.000000,11475.000000,11330.000000,11375.000000,11358.148438,1480
