변환,원자료
2010-11-10,1115.80 
2010-11-11,1114.30 
2010-11-12,1107.50 
2010-11-15,1119.50 
2010-11-16,1129.20 
2010-11-17,1129.20 
2010-11-18,1138.50 
2010-11-19,1138.90 
2010-11-22,1131.70 
2010-11-23,1126.50 
2010-11-24,1134.20 
2010-11-25,1148.90 
2010-11-26,1144.40 
2010-11-29,1147.60 
2010-11-30,1157.30 
2010-12-01,1154.50 
2010-12-02,1154.20 
2010-12-03,1149.30 
2010-12-06,1143.50 
2010-12-07,1133.60 
2010-12-08,1134.20 
2010-12-09,1140.70 
2010-12-10,1138.40 
2010-12-13,1141.60 
2010-12-14,1143.50 
2010-12-15,1141.40 
2010-12-16,1151.20 
2010-12-17,1156.50 
2010-12-20,1150.80 
2010-12-21,1164.90 
2010-12-22,1153.30 
2010-12-23,1155.50 
2010-12-24,1151.50 
2010-12-27,1152.00 
2010-12-28,1150.60 
2010-12-29,1147.50 
2010-12-30,1146.10 
2010-12-31,1138.90 
2011-01-03,1138.90 
2011-01-04,1127.50 
2011-01-05,1122.30 
2011-01-06,1125.00 
2011-01-07,1123.10 
2011-01-10,1122.10 
2011-01-11,1120.60 
2011-01-12,1126.20 
2011-01-13,1120.00 
2011-01-14,1112.20 
2011-01-17,1114.70 
2011-01-18,1114.70 
2011-01-19,1116.80 
2011-01-20,1112.50 
2011-01-21,1118.20 
2011-01-24,1122.00 
2011-01-25,1120.30 
2011-01-26,1117.60 
2011-01-27,1118.20 
2011-01-28,1114.30 
2011-01-31,1114.30 
2011-02-01,1122.70 
2011-02-07,1116.70 
2011-02-08,1107.00 
2011-02-09,1104.40 
2011-02-10,1104.80 
2011-02-11,1112.90 
2011-02-14,1120.70 
2011-02-15,1123.90 
2011-02-16,1122.50 
2011-02-17,1120.70 
2011-02-18,1116.20 
2011-02-21,1113.00 
2011-02-22,1116.40 
2011-02-23,1125.90 
2011-02-24,1125.80 
2011-02-25,1126.90 
2011-02-28,1127.90 
2011-03-02,1128.80 
2011-03-03,1128.40 
2011-03-04,1122.60 
2011-03-07,1116.20 
2011-03-08,1117.90 
2011-03-09,1117.40 
2011-03-10,1115.20 
2011-03-11,1118.40 
2011-03-14,1124.50 
2011-03-15,1129.80 
2011-03-16,1131.30 
2011-03-17,1132.80 
2011-03-18,1137.60 
2011-03-21,1128.30 
2011-03-22,1125.90 
2011-03-23,1121.70 
2011-03-24,1123.70 
2011-03-25,1122.80 
2011-03-28,1114.50 
2011-03-29,1114.20 
2011-03-30,1114.60 
2011-03-31,1107.20 
2011-04-01,1100.10 
2011-04-04,1094.60 
2011-04-05,1086.90 
2011-04-06,1089.70 
2011-04-07,1085.50 
2011-04-08,1088.00 
2011-04-11,1085.40 
2011-04-12,1084.40 
2011-04-13,1091.70 
2011-04-14,1092.50 
2011-04-15,1089.40 
2011-04-18,1087.90 
2011-04-19,1089.90 
2011-04-20,1092.80 
2011-04-21,1083.70 
2011-04-22,1080.10 
2011-04-25,1081.80 
2011-04-26,1081.50 
2011-04-27,1085.50 
2011-04-28,1079.90 
2011-04-29,1072.30 
2011-05-02,1073.30 
2011-05-03,1066.80 
2011-05-04,1070.20 
2011-05-06,1074.60 
2011-05-09,1085.00 
2011-05-11,1079.90 
2011-05-12,1074.90 
2011-05-13,1082.70 
2011-05-16,1088.90 
2011-05-17,1092.80 
2011-05-18,1091.40 
2011-05-19,1086.70 
2011-05-20,1084.70 
2011-05-23,1082.70 
2011-05-24,1091.70 
2011-05-25,1094.80 
2011-05-26,1096.30 
2011-05-27,1090.50 
2011-05-30,1082.20 
2011-05-31,1080.60 
2011-06-01,1076.90 
2011-06-02,1076.40 
2011-06-03,1080.40 
2011-06-07,1077.50 
2011-06-08,1080.60 
2011-06-09,1081.50 
2011-06-10,1083.10 
2011-06-13,1081.20 
2011-06-14,1085.90 
2011-06-15,1083.50 
2011-06-16,1082.50 
2011-06-17,1088.90 
2011-06-20,1087.20 
2011-06-21,1083.20 
2011-06-22,1081.70 
2011-06-23,1075.00 
2011-06-24,1076.70 
2011-06-27,1077.90 
2011-06-28,1086.70 
2011-06-29,1081.80 
2011-06-30,1078.10 
2011-07-01,1070.10 
2011-07-04,1066.40 
2011-07-05,1063.80 
2011-07-06,1065.60 
2011-07-07,1064.90 
2011-07-08,1064.30 
2011-07-11,1058.40 
2011-07-12,1059.70 
2011-07-13,1066.20 
2011-07-14,1063.20 
2011-07-15,1056.70 
2011-07-18,1057.30 
2011-07-19,1061.20 
2011-07-20,1059.70 
2011-07-21,1055.30 
2011-07-22,1055.30 
2011-07-25,1051.20 
2011-07-26,1054.50 
2011-07-27,1052.90 
2011-07-28,1050.20 
2011-07-29,1052.60 
2011-08-01,1053.10 
2011-08-02,1049.50 
2011-08-03,1051.30 
2011-08-04,1058.60 
2011-08-05,1058.50 
2011-08-08,1069.40 
2011-08-09,1073.50 
2011-08-10,1092.20 
2011-08-11,1080.40 
2011-08-12,1085.70 
2011-08-16,1078.70 
2011-08-17,1070.00 
2011-08-18,1072.70 
2011-08-19,1072.30 
2011-08-22,1082.90 
2011-08-23,1083.40 
2011-08-24,1081.00 
2011-08-25,1079.00 
2011-08-26,1085.30 
2011-08-29,1084.50 
2011-08-30,1076.00 
2011-08-31,1071.70 
2011-09-01,1070.40 
2011-09-02,1063.00 
2011-09-05,1062.70 
2011-09-06,1068.30 
2011-09-07,1071.80 
2011-09-08,1071.70 
2011-09-09,1072.80 
2011-09-14,1076.00 
2011-09-15,1100.40 
2011-09-16,1108.10 
2011-09-19,1106.90 
2011-09-20,1122.30 
2011-09-21,1150.60 
2011-09-22,1147.20 
2011-09-23,1177.50 
2011-09-26,1186.00 
2011-09-27,1184.60 
2011-09-28,1179.70 
2011-09-29,1172.70 
2011-09-30,1179.50 
2011-10-04,1178.10 
2011-10-05,1199.50 
2011-10-06,1192.40 
2011-10-07,1186.60 
2011-10-10,1179.90 
2011-10-11,1173.00 
2011-10-12,1164.20 
2011-10-13,1172.40 
2011-10-14,1158.00 
2011-10-17,1160.30 
2011-10-18,1145.70 
2011-10-19,1147.10 
2011-10-20,1137.70 
2011-10-21,1139.50 
2011-10-24,1149.50 
2011-10-25,1137.70 
2011-10-26,1127.90 
2011-10-27,1130.40 
2011-10-28,1124.50 
2011-10-31,1104.50 
2011-11-01,1105.20 
2011-11-02,1113.90 
2011-11-03,1126.20 
2011-11-04,1131.50 
2011-11-07,1112.60 
2011-11-08,1115.00 
2011-11-09,1116.30 
2011-11-10,1115.70 
2011-11-11,1134.30 
2011-11-14,1127.30 
2011-11-15,1120.60 
2011-11-16,1126.20 
2011-11-17,1134.50 
2011-11-18,1137.60 
2011-11-21,1136.40 
2011-11-22,1139.60 
2011-11-23,1146.60 
2011-11-24,1149.20 
2011-11-25,1157.10 
2011-11-28,1159.90 
2011-11-29,1154.90 
2011-11-30,1150.30 
2011-12-01,1140.60 
2011-12-02,1127.20 
2011-12-05,1127.70 
2011-12-06,1130.30 
2011-12-07,1131.20 
2011-12-08,1126.80 
2011-12-09,1130.90 
2011-12-12,1142.30 
2011-12-13,1145.00 
2011-12-14,1155.40 
2011-12-15,1158.50 
2011-12-16,1161.40 
2011-12-19,1156.50 
2011-12-20,1169.50 
2011-12-21,1167.10 
2011-12-22,1150.90 
2011-12-23,1156.20 
2011-12-26,1149.40 
2011-12-27,1150.00 
2011-12-28,1156.40 
2011-12-29,1157.40 
2011-12-30,1153.30 
2012-01-02,1153.30 
2012-01-03,1155.50 
2012-01-04,1150.90 
2012-01-05,1147.40 
2012-01-06,1150.30 
2012-01-09,1158.40 
2012-01-10,1164.30 
2012-01-11,1156.20 
2012-01-12,1159.40 
2012-01-13,1158.80 
2012-01-16,1150.60 
2012-01-17,1154.00 
2012-01-18,1147.00 
2012-01-19,1143.10 
2012-01-20,1136.40 
2012-01-25,1134.70 
2012-01-26,1126.30 
2012-01-27,1121.60 
2012-01-30,1123.80 
